,fold,method,model,next_t,value
0,0,mean_squared_error,RandomForestRegressor,1,479.636241719
1,0,simple_profit_evaluation,RandomForestRegressor,1,-291.3
2,0,mean_squared_error,RandomForestRegressor,3,801.18036042
3,0,simple_profit_evaluation,RandomForestRegressor,3,-251.68
4,0,mean_squared_error,RandomForestRegressor,7,1031.21495166
5,0,simple_profit_evaluation,RandomForestRegressor,7,-315.65
6,1,mean_squared_error,RandomForestRegressor,1,805.153879077
7,1,simple_profit_evaluation,RandomForestRegressor,1,-196.52
8,1,mean_squared_error,RandomForestRegressor,3,1199.53655884
9,1,simple_profit_evaluation,RandomForestRegressor,3,-246.75
10,1,mean_squared_error,RandomForestRegressor,7,1581.04848652
11,1,simple_profit_evaluation,RandomForestRegressor,7,-223.02
12,2,mean_squared_error,RandomForestRegressor,1,2615.55602285
13,2,simple_profit_evaluation,RandomForestRegressor,1,175.0
14,2,mean_squared_error,RandomForestRegressor,3,3083.80347514
15,2,simple_profit_evaluation,RandomForestRegressor,3,-200.35
16,2,mean_squared_error,RandomForestRegressor,7,3062.1215154
17,2,simple_profit_evaluation,RandomForestRegressor,7,42.75
18,3,mean_squared_error,RandomForestRegressor,1,624.587450308
19,3,simple_profit_evaluation,RandomForestRegressor,1,167.84
20,3,mean_squared_error,RandomForestRegressor,3,705.948286667
21,3,simple_profit_evaluation,RandomForestRegressor,3,-31.06
22,3,mean_squared_error,RandomForestRegressor,7,1276.90822866
23,3,simple_profit_evaluation,RandomForestRegressor,7,-292.89
0,0,mean_squared_error,GradientBoostingRegressor,1,1050.7466293
1,0,simple_profit_evaluation,GradientBoostingRegressor,1,103.75
2,0,mean_squared_error,GradientBoostingRegressor,3,1224.51886439
3,0,simple_profit_evaluation,GradientBoostingRegressor,3,65.66
4,0,mean_squared_error,GradientBoostingRegressor,7,1417.96502351
5,0,simple_profit_evaluation,GradientBoostingRegressor,7,145.79
6,1,mean_squared_error,GradientBoostingRegressor,1,2200.17749842
7,1,simple_profit_evaluation,GradientBoostingRegressor,1,-217.72
8,1,mean_squared_error,GradientBoostingRegressor,3,2505.19607704
9,1,simple_profit_evaluation,GradientBoostingRegressor,3,14.0
10,1,mean_squared_error,GradientBoostingRegressor,7,2463.0259074
11,1,simple_profit_evaluation,GradientBoostingRegressor,7,53.66
12,2,mean_squared_error,GradientBoostingRegressor,1,4768.26600431
13,2,simple_profit_evaluation,GradientBoostingRegressor,1,15.38
14,2,mean_squared_error,GradientBoostingRegressor,3,5586.98215043
15,2,simple_profit_evaluation,GradientBoostingRegressor,3,-9.81
16,2,mean_squared_error,GradientBoostingRegressor,7,4445.32939988
17,2,simple_profit_evaluation,GradientBoostingRegressor,7,-230.31
18,3,mean_squared_error,GradientBoostingRegressor,1,2229.92277028
19,3,simple_profit_evaluation,GradientBoostingRegressor,1,39.44
20,3,mean_squared_error,GradientBoostingRegressor,3,2057.79253242
21,3,simple_profit_evaluation,GradientBoostingRegressor,3,83.17
22,3,mean_squared_error,GradientBoostingRegressor,7,2318.28994518
23,3,simple_profit_evaluation,GradientBoostingRegressor,7,87.32
